id,hub,title,desc,risk,icon,link,delay,pubDate,timestamp
telemetry-patna-optimal-transit-weather-7-21,"Patna, BR",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Patna corridor: 33.8°C, AQI 89, windspeed 10.8 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-asansol-moderate-smog-warning-7-21,"Asansol, WB",Moderate Smog Warning,[Verified Live Status] Air Quality Index in Asansol is 104 (Unhealthy). Smog conditions present on arterial highways. (Delay Impact: +15 mins),Medium,fa-smog,https://open-meteo.com,15,46180.87512,1.78085E+12
telemetry-durgapur-extreme-temperature-warning-7-21,"Durgapur, WB",Extreme Temperature Warning,[Verified Live Status] High heat profile of 45°C active in Durgapur. Elevated engine and tire blowout stress warning. (Delay Impact: +77 mins),Critical,fa-temperature-high,https://open-meteo.com,77,46180.87512,1.78085E+12
telemetry-kolkata-extreme-temperature-warning-7-21,"Kolkata, WB",Extreme Temperature Warning,[Verified Live Status] High heat profile of 38.8°C active in Kolkata. Elevated engine and tire blowout stress warning. (Delay Impact: +49 mins),High,fa-temperature-high,https://open-meteo.com,49,46180.87512,1.78085E+12
telemetry-gaya-extreme-temperature-warning-7-21,"Gaya, BR",Extreme Temperature Warning,[Verified Live Status] High heat profile of 44.8°C active in Gaya. Elevated engine and tire blowout stress warning. (Delay Impact: +76 mins),Critical,fa-temperature-high,https://open-meteo.com,76,46180.87512,1.78085E+12
telemetry-hazaribagh-optimal-transit-weather-7-21,"Hazaribagh, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Hazaribagh corridor: 30.9°C, AQI 96, windspeed 11.5 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-ranchi-optimal-transit-weather-7-21,"Ranchi, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Ranchi corridor: 30°C, AQI 88, windspeed 17.8 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-kharagpur-optimal-transit-weather-7-21,"Kharagpur, WB",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Kharagpur corridor: 34.2°C, AQI 75, windspeed 13.9 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-cuttack-optimal-transit-weather-7-21,"Cuttack, OD",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Cuttack corridor: 31°C, AQI 96, windspeed 5.1 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-bhubaneswar-extreme-temperature-warning-7-21,"Bhubaneswar, OD",Extreme Temperature Warning,[Verified Live Status] High heat profile of 37°C active in Bhubaneswar. Elevated engine and tire blowout stress warning. (Delay Impact: +41 mins),High,fa-temperature-high,https://open-meteo.com,41,46180.87512,1.78085E+12
telemetry-bhagalpur-optimal-transit-weather-7-21,"Bhagalpur, BR",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Bhagalpur corridor: 32.3°C, AQI 98, windspeed 31.5 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-siliguri-optimal-transit-weather-7-21,"Siliguri, WB",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Siliguri corridor: 23.2°C, AQI 51, windspeed 9.9 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-guwahati-moderate-smog-warning-7-21,"Guwahati, AS",Moderate Smog Warning,[Verified Live Status] Air Quality Index in Guwahati is 109 (Unhealthy). Smog conditions present on arterial highways. (Delay Impact: +15 mins),Medium,fa-smog,https://open-meteo.com,15,46180.87512,1.78085E+12
telemetry-jamshedpur-optimal-transit-weather-7-21,"Jamshedpur, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Jamshedpur corridor: 34.1°C, AQI 88, windspeed 5.2 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-muzaffarpur-moderate-smog-warning-7-21,"Muzaffarpur, BR",Moderate Smog Warning,[Verified Live Status] Air Quality Index in Muzaffarpur is 128 (Unhealthy). Smog conditions present on arterial highways. (Delay Impact: +15 mins),Medium,fa-smog,https://open-meteo.com,15,46180.87512,1.78085E+12
telemetry-dhanbad-optimal-transit-weather-7-21,"Dhanbad, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Dhanbad corridor: 33.7°C, AQI 88, windspeed 29.3 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-darbhanga-optimal-transit-weather-7-21,"Darbhanga, BR",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Darbhanga corridor: 32.3°C, AQI 23, windspeed 22.7 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-shillong-optimal-transit-weather-7-21,"Shillong, ML",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Shillong corridor: 23.8°C, AQI 72, windspeed 5.9 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-puri-optimal-transit-weather-7-21,"Puri, OD",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Puri corridor: 30.5°C, AQI 96, windspeed 23.5 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.87512,1.78085E+12
telemetry-kashipur-high-winds-transit-alert-7-21,"Kashipur, UK",High Winds Transit Alert,[Verified Live Status] Sustained wind speeds of 36.9 km/h detected in Kashipur. Elevated drift hazard for cargo trucks. (Delay Impact: +55 mins),High,fa-wind,https://open-meteo.com,55,46180.87512,1.78085E+12
telemetry-patna-optimal-transit-weather-7-22,"Patna, BR",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Patna corridor: 33.8°C, AQI 89, windspeed 10.8 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-asansol-moderate-smog-warning-7-22,"Asansol, WB",Moderate Smog Warning,[Verified Live Status] Air Quality Index in Asansol is 104 (Unhealthy). Smog conditions present on arterial highways. (Delay Impact: +15 mins),Medium,fa-smog,https://open-meteo.com,15,46180.91678,1.78085E+12
telemetry-durgapur-extreme-temperature-warning-7-22,"Durgapur, WB",Extreme Temperature Warning,[Verified Live Status] High heat profile of 45°C active in Durgapur. Elevated engine and tire blowout stress warning. (Delay Impact: +77 mins),Critical,fa-temperature-high,https://open-meteo.com,77,46180.91678,1.78085E+12
telemetry-kolkata-extreme-temperature-warning-7-22,"Kolkata, WB",Extreme Temperature Warning,[Verified Live Status] High heat profile of 38.8°C active in Kolkata. Elevated engine and tire blowout stress warning. (Delay Impact: +49 mins),High,fa-temperature-high,https://open-meteo.com,49,46180.91678,1.78085E+12
telemetry-gaya-extreme-temperature-warning-7-22,"Gaya, BR",Extreme Temperature Warning,[Verified Live Status] High heat profile of 44.8°C active in Gaya. Elevated engine and tire blowout stress warning. (Delay Impact: +76 mins),Critical,fa-temperature-high,https://open-meteo.com,76,46180.91678,1.78085E+12
telemetry-hazaribagh-optimal-transit-weather-7-22,"Hazaribagh, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Hazaribagh corridor: 30.9°C, AQI 96, windspeed 11.5 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-ranchi-optimal-transit-weather-7-22,"Ranchi, JH",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Ranchi corridor: 30°C, AQI 88, windspeed 17.8 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-kharagpur-optimal-transit-weather-7-22,"Kharagpur, WB",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Kharagpur corridor: 34.2°C, AQI 75, windspeed 13.9 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-cuttack-optimal-transit-weather-7-22,"Cuttack, OD",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Cuttack corridor: 31°C, AQI 96, windspeed 5.1 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-bhubaneswar-extreme-temperature-warning-7-22,"Bhubaneswar, OD",Extreme Temperature Warning,[Verified Live Status] High heat profile of 37°C active in Bhubaneswar. Elevated engine and tire blowout stress warning. (Delay Impact: +41 mins),High,fa-temperature-high,https://open-meteo.com,41,46180.91678,1.78085E+12
telemetry-bhagalpur-optimal-transit-weather-7-22,"Bhagalpur, BR",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Bhagalpur corridor: 32.3°C, AQI 98, windspeed 31.5 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-siliguri-optimal-transit-weather-7-22,"Siliguri, WB",Optimal Transit Weather,"[Verified Live Status] Telemetry checks clear for Siliguri corridor: 23.2°C, AQI 51, windspeed 9.9 km/h. Standard logistics flow. (Delay Impact: +0 mins)",Low,fa-circle-check,https://open-meteo.com,0,46180.91678,1.78085E+12
telemetry-guwahati-moderate-smog-warning-7-22,"Guwahati, AS",Moderate Smog Warning,[Verified Live Status] Air Quality Index in Guwahati is 109 (Unhealthy). Smog conditions present on arterial highways. (Delay Impact: +15 mins),Medium,fa-smog,https://open-meteo.com,15,46180.91678,1.78085E+12
